px,py,vx,vy,px_meas,py_meas,px_true,py_true,vx_truevy_true
0.312243,0.58034,0,0,0.312243,0.58034,0.6,0.6,5.19994,0
0.779608,0.722577,6.64824,1.97908,0.862916,0.534212,0.859997,0.600045,5.19975,0.00179686
1.19551,0.535028,10.2935,0.00195245,1.17385,0.481073,1.11998,0.600225,5.19943,0.00538996
1.13928,0.723626,4.54494,2.92805,0.969149,0.397513,1.37996,0.600629,5.19898,0.0107781
1.43018,0.817796,4.76374,2.56898,1.65063,0.62469,1.6399,0.601347,5.19839,0.0179597
1.67883,0.854549,4.81036,2.20976,1.62331,0.499091,1.89982,0.60247,5.19766,0.0269323
2.00401,0.8655,5.10699,1.70613,2.18882,0.648739,2.1597,0.604086,5.19678,0.0376932
2.23404,0.897664,4.97675,1.536,1.96701,0.557117,2.41954,0.606284,5.19573,0.0502389
2.54825,0.863563,5.17244,1.10845,2.65526,0.66598,2.67932,0.609155,5.1945,0.0645654
2.81907,0.885883,5.18033,0.984384,2.92034,0.645898,2.93904,0.612786,5.19309,0.080668
3.08451,0.837623,5.22612,0.703504,3.01222,0.637046,3.19869,0.617267,5.19147,0.0985415
3.36172,0.836085,5.22911,0.576046,3.56096,0.485311,3.45825,0.622685,5.18963,0.11818
3.71814,0.649349,5.42504,-0.0828273,3.89365,0.311793,3.71772,0.62913,5.18754,0.139576
4.00503,0.644865,5.4825,-0.085667,4.19786,0.698311,3.97708,0.636689,5.18519,0.162724
4.2883,0.616228,5.49811,-0.156034,4.30935,0.578564,4.23632,0.645449,5.18256,0.187614
4.54804,0.613555,5.35037,-0.153778,4.61908,0.68951,4.49542,0.655498,5.17962,0.214238
4.71987,0.735395,5.19334,0.21805,4.35143,0.899174,4.75437,0.666921,5.17634,0.242587
4.97115,0.739348,5.04147,0.181011,5.20901,0.66599,5.01315,0.679804,5.1727,0.272649
5.27813,0.699579,5.13686,0.0416,5.51894,0.648233,5.27175,0.694234,5.16867,0.304413
5.53969,0.700431,5.27648,0.0514661,5.22834,0.639362,5.53013,0.710295,5.16422,0.337868
5.84035,0.698445,5.34075,0.035206,6.022,0.708619,5.78828,0.728072,5.15932,0.372999
6.07463,0.688073,5.1208,-0.00985916,5.89392,0.373584,6.04618,0.747647,5.15393,0.409793
6.32559,0.789236,5.10684,0.262659,6.34249,0.948833,6.30379,0.769103,5.14803,0.448233
6.57746,0.802786,5.06343,0.260053,6.62134,0.836138,6.5611,0.792523,5.14157,0.488305
6.82526,0.777035,5.0567,0.157361,6.78214,0.714036,6.81808,0.817988,5.13452,0.52999
7.06473,0.780189,4.87739,0.130568,7.29121,0.630741,7.07469,0.845578,5.12685,0.573269
7.27614,0.858485,4.81391,0.32496,7.13735,0.957217,7.3309,0.875373,5.11851,0.618123
7.57565,0.879541,5.15768,0.357778,8.08349,0.819605,7.58668,0.907449,5.10946,0.664531
7.83341,0.827243,5.16343,0.171586,7.80533,0.719126,7.84199,0.941886,5.09966,0.712469
8.08197,0.836411,4.98511,0.158642,8.40453,0.884557,8.0968,0.978759,5.08907,0.761915
8.31767,0.844762,4.96061,0.161192,8.24796,0.840322,8.35106,1.01814,5.07766,0.812843
8.59848,0.864682,5.26142,0.212881,8.45858,1.41118,8.60472,1.06011,5.06537,0.865226
8.8386,0.947488,5.21501,0.406301,8.74615,1.04858,8.85775,1.10473,5.05216,0.919037
9.13237,0.97311,5.26468,0.416046,9.8809,1.1419,9.1101,1.15208,5.03798,0.974245
9.3714,1.01945,5.21883,0.486084,9.25579,1.04913,9.36172,1.20223,5.0228,1.03082
9.65719,1.05247,5.28081,0.508676,10.1016,1.52474,9.61255,1.25524,5.00656,1.08873
9.93295,1.22297,5.28933,0.89045,10.0484,1.44598,9.86254,1.31118,4.98922,1.14794
10.1828,1.26896,5.04386,0.867594,10.5377,1.72555,10.1117,1.37011,4.97074,1.20841
10.4005,1.37651,4.97399,1.04074,10.2492,1.45907,10.3598,1.4321,4.95106,1.2701
10.6331,1.42748,4.74679,1.01195,10.9084,1.70343,10.6069,1.49721,4.93014,1.33298
10.8483,1.47203,4.70714,0.998965,10.7313,1.45265,10.853,1.56549,4.90794,1.39701
11.1181,1.52616,4.89372,1.02331,11.4783,1.42876,11.0979,1.637,4.8844,1.46213
11.3987,1.58513,4.95809,1.03908,11.587,1.61462,11.3416,1.71179,4.85948,1.52832
11.6291,1.63357,4.85923,1.02215,11.4763,1.53917,11.584,1.78992,4.83313,1.59551
11.8545,1.71249,4.82363,1.09738,11.7788,1.74591,11.8251,1.87144,4.80531,1.66366
12.1184,1.77469,4.99421,1.13382,12.136,2.14937,12.0647,1.95639,4.77598,1.73273
12.3622,1.81371,4.98587,1.08822,12.3226,1.78353,12.3029,2.04482,4.74508,1.80265
12.6208,1.86915,5.09014,1.10312,12.5457,1.77728,12.5394,2.13677,4.71257,1.87338
12.8192,2.03558,4.97285,1.40176,12.5924,2.17509,12.7743,2.23227,4.67842,1.94485
13.0944,2.11523,5.1351,1.44305,13.2198,2.6644,13.0075,2.33137,4.64258,2.01701
13.2987,2.28588,5.02469,1.70768,13.0875,2.40708,13.2388,2.43409,4.605,2.08981
13.4822,2.36194,4.63632,1.64383,12.7087,3.12439,13.4682,2.54047,4.56565,2.16317
13.7271,2.51172,4.6491,1.81844,13.836,2.62479,13.6955,2.65053,4.52448,2.23703
13.95,2.60139,4.59663,1.80972,13.8302,2.73893,13.9208,2.7643,4.48147,2.31134
14.1741,2.79082,4.56829,2.06843,14.2106,2.94205,14.1439,2.88179,4.43656,2.38601
14.4271,2.90089,4.74084,2.10926,14.5568,2.87021,14.3646,3.00303,4.38974,2.46099
14.6343,2.97631,4.6917,2.03597,14.4616,2.90734,14.583,3.12802,4.34097,2.5362
14.8766,3.08559,4.76068,2.06663,14.6754,3.96041,14.7989,3.25679,4.29021,2.61157
15.0837,3.3201,4.67781,2.41248,15.0261,3.5067,15.0122,3.38932,4.23744,2.68703
15.3028,3.43861,4.48661,2.37047,15.3685,4.14761,15.2228,3.52563,4.18263,2.76249
15.5122,3.66559,4.43586,2.65407,15.5236,3.82936,15.4306,3.66572,4.12575,2.83789
15.7227,3.79254,4.36213,2.62728,15.7234,3.4105,15.6355,3.80957,4.06678,2.91315
15.9428,3.95235,4.35945,2.70039,15.9774,4.00094,15.8375,3.95719,4.00571,2.98817
16.1435,4.0807,4.14666,2.63783,16.3376,4.21632,16.0363,4.10854,3.94251,3.0629
16.3336,4.30546,4.0925,2.88057,16.3313,4.44499,16.2319,4.26363,3.87716,3.13723
16.5483,4.45231,4.11612,2.8874,16.7586,4.48231,16.4242,4.42242,3.80966,3.21109
16.7226,4.63624,4.04733,2.99534,16.6039,4.67344,16.613,4.5849,3.74,3.28438
16.8863,4.77142,3.68124,2.87716,16.9236,5.10119,16.7983,4.75103,3.66817,3.35704
17.0375,5.03588,3.58833,3.19334,16.9955,5.21099,16.9799,4.92077,3.59416,3.42897
17.2099,5.19006,3.53109,3.16613,17.3421,4.64623,17.1579,5.09409,3.51797,3.50008
17.3628,5.38893,3.47539,3.2749,17.2894,5.43542,17.3319,5.27094,3.4396,3.57028
17.5204,5.54251,3.36114,3.22352,17.6463,4.74597,17.5019,5.45128,3.35907,3.63949
17.712,5.66615,3.4163,3.12262,17.7853,5.62476,17.6679,5.63506,3.27637,3.70762
17.8688,5.8167,3.2604,3.06704,17.9216,6.07151,17.8297,5.82221,3.19151,3.77458
18.0345,6.04,3.24526,3.2447,18.1263,6.16985,17.9872,6.01269,3.10453,3.84027
18.1991,6.20497,3.23246,3.24533,18.1245,6.79027,18.1402,6.20641,3.01542,3.90462
18.311,6.49119,3.10137,3.57182,18.2164,6.66138,18.2888,6.40332,2.92421,3.96753
18.4553,6.66519,2.98952,3.52768,18.4022,7.02231,18.4328,6.60333,2.83093,4.0289
18.5994,6.81555,2.98733,3.46311,18.5422,6.76013,18.572,6.80638,2.7356,4.08867
18.7594,6.99405,3.04058,3.48749,18.8089,7.24388,18.7064,7.01237,2.63825,4.14672
18.9549,7.1549,3.1281,3.44266,19.1441,7.18344,18.8359,7.22122,2.53893,4.20299
19.0593,7.30466,2.81146,3.31034,18.5479,7.4012,18.9604,7.43283,2.43767,4.25737
19.13,7.63635,2.62436,3.74687,19.0138,7.8688,19.0798,7.64712,2.3345,4.3098
19.2582,7.82152,2.60005,3.73394,19.3089,7.67375,19.1939,7.86397,2.22949,4.36017
19.3273,8.07566,2.45992,3.91899,19.132,8.12845,19.3028,8.08329,2.12266,4.40842
19.4328,8.26422,2.42793,3.90486,19.0239,8.17194,19.4062,8.30497,2.01409,4.45445
19.5265,8.42165,2.38739,3.81791,19.347,8.30741,19.5042,8.5289,1.90381,4.49819
19.6274,8.6013,2.23786,3.74159,19.6843,8.35902,19.5966,8.75494,1.7919,4.53956
19.7833,8.80159,2.31899,3.76234,20.0039,8.8906,19.6835,8.983,1.67841,4.57848
19.8753,8.97782,2.12388,3.66831,19.6061,9.48659,19.7645,9.21294,1.56341,4.61488
19.9892,9.25401,2.10583,3.89674,20.1574,9.45949,19.8398,9.44463,1.44697,4.64869
20.0546,9.42714,1.83302,3.75577,19.6163,9.76606,19.9093,9.67795,1.32916,4.67984
20.12,9.72091,1.74288,4.02571,20.1573,9.90876,19.9728,9.91275,1.21005,4.70826
20.2023,9.92577,1.74537,4.04298,19.1911,11.5493,20.0303,10.1489,1.08972,4.73389
20.2297,10.2633,1.57622,4.39418,20.166,10.4687,20.0818,10.3863,0.968259,4.75666
20.2638,10.4553,1.28717,4.22626,19.6775,10.803,20.1271,10.6247,0.845742,4.77652
20.3022,10.7853,1.18919,4.52462,20.371,11.0109,20.1663,10.864,0.722256,4.7934
20.3471,11.0063,1.10316,4.48356,19.4335,12.3402,20.1993,11.1041,0.597892,4.80727
20.3712,11.2811,1.02047,4.61636,20.3164,11.3483,20.2261,11.3449,0.472738,4.81807
20.3493,11.4638,0.54815,4.32022,19.2063,12.2418,20.2466,11.5861,0.346889,4.82575
20.4014,11.7459,0.570592,4.47238,20.6141,11.9422,20.2608,11.8275,0.220439,4.83027
20.4267,11.971,0.65411,4.53209,19.966,11.9688,20.2687,12.0692,0.093487,4.83159
20.3965,12.3154,0.477081,4.83606,20.3263,12.4966,20.2701,12.3108,-0.0338694,4.82968
