px,py,vx,vy,px_meas,py_meas,px_true,py_true,vx_truevy_true
0,0,0,0,0,0,0,0,0,0
-7.71793e-312,0,-3.31024e-322,0,0,0,0,0,0,0
1.55941,-0.138498,1.56135,-0.138671,1.55945,-0.138501,2.09897,0.0522228,2.19595,0.109339
1.62036,-0.0528187,2.28633,-0.111853,1.81209,0.0474826,2.09897,0.0522228,2.19595,0.109339
3.89109,-0.134298,2.25456,-0.0683929,3.89093,-0.134166,4.29136,0.215312,2.28434,0.226323
3.9587,-0.0891331,2.40662,0.000414251,4.19528,0.218461,4.29136,0.215312,2.28434,0.226323
6.85887,0.41384,3.36131,0.794384,6.86352,0.416817,6.56942,0.496096,2.36382,0.348847
6.68909,0.405237,2.6363,0.563796,6.43926,0.472879,6.56942,0.496096,2.36382,0.348847
9.07974,0.595774,2.15141,-0.0599506,9.07733,0.593211,8.92437,0.89924,2.43359,0.474526
9.09781,0.605222,2.40712,-0.0280918,8.89749,0.886982,8.92437,0.89924,2.43359,0.474526
11.5747,1.65933,2.56159,1.79181,11.5756,1.6669,11.3468,1.427,2.49328,0.600781
11.5194,1.64598,2.34644,1.71728,11.4447,1.42958,11.3468,1.427,2.49328,0.600781
13.595,2.31945,1.78121,-0.0622258,13.5921,2.31191,13.827,2.07905,2.5429,0.724947
13.6851,2.32877,2.33668,0.0492792,13.6572,1.99915,13.827,2.07905,2.5429,0.724947
16.6395,2.89902,3.55764,0.959669,16.6456,2.903,16.3554,2.85243,2.58284,0.844365
16.4808,2.87039,2.86042,0.826856,16.282,2.84648,16.3554,2.85243,2.58284,0.844365
19.0137,3.70563,2.22518,0.8268,19.0106,3.70555,18.923,3.74161,2.61382,0.95648
19.0882,3.7208,2.37754,0.857749,19.363,3.87122,18.923,3.74161,2.61382,0.95648
21.3324,4.73102,2.12646,1.11065,21.3312,4.73205,21.5215,4.73855,2.63679,1.05891
21.4282,4.75261,2.48838,1.20881,21.6213,4.74762,21.5215,4.73855,2.63679,1.05891
24.0774,5.5724,2.77858,0.554824,24.0787,5.56967,24.1437,5.83295,2.65286,1.14953
24.1876,5.59883,3.01056,0.61033,24.5601,5.92334,24.1437,5.83295,2.65286,1.14953
26.6104,6.95594,1.9154,1.8499,26.6052,6.96102,26.7833,7.01246,2.6632,1.22647
26.6687,6.97309,2.3481,2.00532,26.5419,6.90075,26.7833,7.01246,2.6632,1.22647
29.5816,8.09397,3.38298,0.530367,29.5864,8.08789,29.4352,8.26299,2.66893,1.28822
29.5282,8.08024,3.10089,0.448992,29.4716,8.24519,29.4352,8.26299,2.66893,1.28822
31.9472,9.87084,1.87214,2.69703,31.9416,9.88017,32.0955,9.56901,2.67105,1.33358
31.9308,9.86625,1.97783,2.75148,31.7928,9.49891,32.0955,9.56901,2.67105,1.33358
34.6104,10.7123,3.18972,-0.463474,34.6157,10.6988,34.7608,10.9139,2.67035,1.3617
34.6948,10.739,3.29699,-0.428175,35.0599,10.9953,34.7608,10.9139,2.67035,1.3617
37.147,12.076,1.79749,2.53485,37.1404,12.0883,37.4287,12.2803,2.66736,1.37209
37.2626,12.115,2.19743,2.68035,37.4973,12.2943,37.4287,12.2803,2.66736,1.37209
40.3214,13.4757,3.75345,0.481548,40.3285,13.4666,40.0971,13.6505,2.66232,1.36459
